Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
12:10:56,6/30/2023,5861833454,181501024,19403.99,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
16:56:30,2/6/2023,5811105590,6929936460,7435.3,UK pounds,Moroccan dirham,UK,Italy,Cross-border,0,Normal_Fan_Out
16:33:47,12/13/2022,9678197173,1812930740,14854.67,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
20:36:45,10/22/2022,6105856348,1464593862,1794.85,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:10:32,7/12/2023,1952212565,2487415444,5253.83,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring
10:55:07,3/29/2023,3546760302,972846864,8205.93,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
14:11:21,1/9/2023,9946753541,3074985464,794.57,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
23:45:11,5/26/2023,1720989067,8197035882,231.34,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
14:20:29,3/20/2023,2882642757,7012581327,5924.25,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
12:51:23,7/27/2023,2073718140,8131228129,3219.12,UK pounds,Swiss franc,UK,Nigeria,Cross-border,1,Structuring
19:30:42,3/24/2023,4533474581,1776045409,6251.35,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
16:46:52,10/14/2022,4254045660,2412223098,8191.848238,UK pounds,UK pounds,UK,UK,Debit card,1,Scatter-Gather
15:55:09,5/11/2023,364240468,2131994171,9347.96,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
9:51:20,6/20/2023,5376317535,9765305791,1683.77,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
8:42:11,7/29/2023,1682971748,3894671471,5017.53,Euro,UK pounds,Germany,UK,Cross-border,0,Normal_Fan_Out
22:08:18,8/18/2023,6415647123,9130784176,11868.98,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
9:08:55,4/1/2023,5342924813,2208503692,55082.47884,UK pounds,UK pounds,UK,UK,Debit card,1,Layered_Fan_In
21:01:35,2/26/2023,1540431231,4281463600,11213.5,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
6:51:33,8/8/2023,825490353,2490396286,100.54,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
1:51:21,7/8/2023,3864360347,7262678088,129.47,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,Cash_Withdrawal
19:11:37,7/19/2023,9881125431,7059989145,7757.62,UK pounds,Euro,UK,Austria,Cross-border,0,Normal_Fan_Out
6:43:20,3/20/2023,6176090086,4778339537,11033.16,UK pounds,UK pounds,UK,UK,Credit card,1,Fan_Out
15:57:57,10/15/2022,5151780757,1640969510,10108.99,Turkish lira,UK pounds,UK,UK,Cheque,1,Bipartite
9:37:30,11/13/2022,1427665401,2840457371,384.33,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
23:43:20,11/19/2022,1992087353,3140946181,2964.92,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring
5:19:50,6/29/2023,7832723086,3724227241,5261.24,UK pounds,UK pounds,UK,UK,Debit card,1,Layered_Fan_In
9:28:47,12/13/2022,3919593175,194129147,4599.56,UK pounds,UK pounds,UK,Morocco,Cross-border,1,Structuring
8:53:44,4/20/2023,7537292128,6942141879,6217.17,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
15:58:32,1/27/2023,1526266472,5794490419,1449.63,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
12:06:54,12/11/2022,6228278108,1124579087,446.83,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
23:12:04,10/15/2022,6767692560,188929394,9578.04,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Deposit-Send
16:01:50,5/18/2023,8039556217,6237866068,371.86,UK pounds,Dirham,UK,UAE,Cross-border,1,Behavioural_Change_2
