Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
12:10:56,2023-06-30,5861833454,181501024,19403.99,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
16:56:30,2023-02-06,5811105590,6929936460,7435.3,UK pounds,Moroccan dirham,UK,Italy,Cross-border,0,Normal_Fan_Out
16:33:47,2022-12-13,9678197173,1812930740,14854.67,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
20:36:45,2022-10-22,6105856348,1464593862,1794.85,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:10:32,2023-07-12,1952212565,2487415444,5253.83,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring
10:55:07,2023-03-29,3546760302,972846864,8205.93,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
14:11:21,2023-01-09,9946753541,3074985464,794.57,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
23:45:11,2023-05-26,1720989067,8197035882,231.34,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
14:20:29,2023-03-20,2882642757,7012581327,5924.25,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
12:51:23,2023-07-27,2073718140,8131228129,3219.12,UK pounds,Swiss franc,UK,Nigeria,Cross-border,1,Structuring
19:30:42,2023-03-24,4533474581,1776045409,6251.35,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
16:46:52,2022-10-14,4254045660,2412223098,8191.848238232069,UK pounds,UK pounds,UK,UK,Debit card,1,Scatter-Gather
15:55:09,2023-05-11,364240468,2131994171,9347.96,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
09:51:20,2023-06-20,5376317535,9765305791,1683.77,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
08:42:11,2023-07-29,1682971748,3894671471,5017.53,Euro,UK pounds,Germany,UK,Cross-border,0,Normal_Fan_Out
22:08:18,2023-08-18,6415647123,9130784176,11868.98,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
09:08:55,2023-04-01,5342924813,2208503692,55082.47883682208,UK pounds,UK pounds,UK,UK,Debit card,1,Layered_Fan_In
21:01:35,2023-02-26,1540431231,4281463600,11213.5,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
06:51:33,2023-08-08,825490353,2490396286,100.54,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
01:51:21,2023-07-08,3864360347,7262678088,129.47,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,Cash_Withdrawal
19:11:37,2023-07-19,9881125431,7059989145,7757.62,UK pounds,Euro,UK,Austria,Cross-border,0,Normal_Fan_Out
06:43:20,2023-03-20,6176090086,4778339537,11033.16,UK pounds,UK pounds,UK,UK,Credit card,1,Fan_Out
15:57:57,2022-10-15,5151780757,1640969510,10108.99,Turkish lira,UK pounds,UK,UK,Cheque,1,Bipartite
09:37:30,2022-11-13,1427665401,2840457371,384.33,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
23:43:20,2022-11-19,1992087353,3140946181,2964.92,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring
05:19:50,2023-06-29,7832723086,3724227241,5261.24,UK pounds,UK pounds,UK,UK,Debit card,1,Layered_Fan_In
